Reviewed by,Notes,"Score (-1=copyright, ?=questionable, 0=unrelated, 1=poor, 2=average, 3=good, 4=great, 5=pro, Approved=assume okay given past videos)",In playlist on anyTVgames?,YouTube views,User,Country Code,Country Name,Video_Link,Video_Offer,Video_Clicks
,,,,"iferror(value(substitute(substitute(importXML(C[4],""//*[@id='watch7-views-info']""),""views"",""""), ""+ Views are being verified and will be updated soon. Learn more"", """")))",,,,,,
,,,,"94,939,153",,,,,,
Sohaib,,1,,350,airgaming15,PT,Portugal,www.youtube.com/watch?v=_TR-3MkH7y0,Call of Duty,4
Sohaib,,1,,327,airgaming15,PT,Portugal,www.youtube.com/watch?v=LTnHRhIXXjU,Call of Duty,1
Sohaib,,1,,83,airgaming15,PT,Portugal,www.youtube.com/watch?v=ZSMakygELMQ,Star Wars: The Old Republic (SWTOR),1
Sohaib,,1,,17,airgaming15,PT,Portugal,www.youtube.com/watch?v=Jo0IOmrVQfI,Team Fortress 2,1
Sohaib,,1,,7,airgaming15,PT,Portugal,www.youtube.com/watch?v=WorcDGo-ck4,Star Wars: The Old Republic (SWTOR),1
Callum,,1,,"71,086",Aishleen,RO,Romania,www.youtube.com/watch?v=Dq4KalsUd-4,Forsaken World,18
Sohaib,,1,,"26,059",Aishleen,Romania,#N/A:lookupNotFound:Romania,www.youtube.com/watch?v=DyOSFCFTMhI,Forsaken World,1
sheldon,,1,,"16,336",Aishleen,Romania,#N/A:lookupNotFound:Romania,www.youtube.com/watch?v=aZj7PgDIRQQ,Forsaken World,37
Sohaib,In-game giveaway,1,,"2,127",Alauran,US,United States,www.youtube.com/watch?v=qB_LMkOiCiQ,League of Legends,2
sheldon,,1,,"15,101",Alexander Lewis,CA,Canada,www.youtube.com/watch?v=PwLR1ApKElw,League of Legends,11
Sohaib,Neverwinter trailer,1,,62,Alexandr,UA,Ukraine,www.youtube.com/watch?v=CzCaHMfWRyE,Neverwinter,5
Sohaib,trailer,1,,29,Alexandr,UA,Ukraine,www.youtube.com/watch?v=xQ8NpF487Ng,Wartune,2
Sohaib,,1,,"4,514",Alpha,US,United States,www.youtube.com/watch?v=KDNO1mJjU28,Minecraft,14
Sheldon,,1,,"451,960",Ameen Mohiyuddin,US,United States,www.youtube.com/watch?v=0Foctr1XCHE,League of Legends,28
Jesse,Lag,1,,"9,937",Ameen Mohiyuddin,US,United States,www.youtube.com/watch?v=j1KoLGZWWu4,League of Legends,2
Jesse,Might have Copyrighted music,1,,42,Aos,RU,Russian Federation,www.youtube.com/watch?v=laonLJ3wsD0,War Thunder,1
Jesse,Lag,1,,28,astromono33,ES,Spain,www.youtube.com/watch?v=o9Kkvad6HDk,Guild Wars 2,2
Daan,,1,,14,Axel Abrahamsson,SE,Sweden,www.youtube.com/watch?v=a-ZGqitWm_0,Warframe,1
Daan,,1,,97,Axel Mewes,DE,Germany,www.youtube.com/watch?v=1s-MgIl0BUA,Apb: Reloaded,2
Daan,,1,,82,Axel Mewes,DE,Germany,www.youtube.com/watch?v=I1aFWVr85hs,AVA - Alliance of Valiant Arms,1
Daan,,1,,79,Axel Mewes,DE,Germany,www.youtube.com/watch?v=GvBZkCEgvJ8,Apb: Reloaded,1
Daan,,1,,44,Axel Mewes,DE,Germany,www.youtube.com/watch?v=AZqOUMdwNqY,Blacklight: Retribution,2
sheldon,,1,,"13,762",Ayin Maiden,SG,Singapore,www.youtube.com/watch?v=8ufow05Hirk,Guild Wars 2,15
sheldon,,1,,"13,741",Ayin Maiden,SG,Singapore,www.youtube.com/watch?v=BtWy90Ppkmg,Guild Wars 2,14
sheldon,,1,,"12,020",Ayin Maiden,SG,Singapore,www.youtube.com/watch?v=D2C7Kf1C08M,The Secret World,11
Daan,,1,,335,Bara2ekb,RU,Russian Federation,www.youtube.com/watch?v=Nh65VzPkWpw,War Thunder,2
Sohaib,trailer,1,,40,Bayu Pratama,AU,Australia,www.youtube.com/watch?v=suZRj1VVonI,Dragons of Atlantis,8
Callum,,1,,"103,828",Bedi,TH,Thailand,www.youtube.com/watch?v=fSAcxKsfTS0,Team Fortress 2,397
Sohaib,,1,,234,Bent Pixels,ES,Spain,www.youtube.com/watch?v=PSsY4ksATew,World of Warcraft,1
Sohaib,,1,,301,Bhanuka Harischandra,LK,Sri Lanka,www.youtube.com/watch?v=nwGf2Gd451Y,Archeblade,2
Sohaib,,1,,226,Bhanuka Harischandra,LK,Sri Lanka,www.youtube.com/watch?v=Geuqj9J5Z5U,By Mmo 51,4
Sohaib,,1,,134,Bhanuka Harischandra,LK,Sri Lanka,www.youtube.com/watch?v=KzW3yVWl8_Y,Archeblade,1
Sohaib,,1,,108,Bhanuka Harischandra,LK,Sri Lanka,www.youtube.com/watch?v=mUkKsuU4Hj8,Archeblade,5
Sohaib,,1,,84,Bhanuka Harischandra,LK,Sri Lanka,www.youtube.com/watch?v=ConrruEyuDs,Archeblade,1
Sohaib,,1,,77,Bhanuka Harischandra,LK,Sri Lanka,www.youtube.com/watch?v=f_aQa8JmRts,Archeblade,15
Sohaib,,1,,53,Bhanuka Harischandra,LK,Sri Lanka,www.youtube.com/watch?v=umJ9yJUcT8g,Archeblade,2
Sohaib,,1,,38,Bhanuka Harischandra,,,www.youtube.com/watch?v=ksyjUyUR5JE,Archeblade,2
Sohaib,,1,,889,Bkellzz Gaming,US,United States,www.youtube.com/watch?v=pw88rouE2OI,DC Universe Online (DCUO),1
Sohaib,trailer,1,,2,Black List Guild,US,United States,www.youtube.com/watch?v=bUQ8k-OhLw8,Star Wars: The Old Republic (SWTOR),1
Sohaib,,1,,3,Black List Guild,,,www.youtube.com/watch?v=GD3SgIn2Cus,Star Wars: The Old Republic (SWTOR),1
Sohaib,,1,,125,Blake Sinclair,AU,Australia,www.youtube.com/watch?v=rYqhxBLKzOU,Vexxhost,1
Eric,,1,,113,Bracht Manufacturing,US,United States,www.youtube.com/watch?v=Eejq18M03ew,Settlers Online,1
Eric,,1,,"8,272",Brandon Dodds,UK,United Kingdom,www.youtube.com/watch?v=lyjdz0aFFgM,Warframe,10
Eric,,1,,"8,149",Brandon Dodds,UK,United Kingdom,www.youtube.com/watch?v=3Ng6gezpr34,Warframe,6
Eric,,1,,"6,519",Brandon Dodds,UK,United Kingdom,www.youtube.com/watch?v=BaXUYfjGq-8,Warframe,2
Eric,,1,,"3,710",Brandon Dodds,UK,United Kingdom,www.youtube.com/watch?v=X2hQjiotDRc,Warframe,3
Callum,,1,,"53,197",caleb2011x,US,United States,www.youtube.com/watch?v=zfuylywQngI,League of Legends,562
Eric,,1,,74,caleb2011x,US,United States,www.youtube.com/watch?v=odsRPmR2rb0,Tera,3
Eric,,1,,28,caleb2011x,US,United States,www.youtube.com/watch?v=59c3WyTo6IQ,War Thunder,1
Callum,,1,,"10,136",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=w3wfbSYAklk,Maestia,356
Callum,,1,,"10,039",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=eM-yKLoBPiQ,The Aurora World,315
Callum,,1,,"9,183",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=aO9ArAunYIQ,Blacklight: Retribution,74
Callum,,1,,"9,171",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=UiDH4h6Qc64,Ghost Recon,134
Callum,,1,,"7,584",Canal Let&#039;s Play Videos,BR,Brazil,www.youtube.com/watch?v=XD4BWB2u3fA,Moonlight Online,71
sheldon,,1,1,"22,200",Carpenter92,HU,Hungary,www.youtube.com/watch?v=p-rdZYvxh2k,Ghost Recon,20
Eric,,1,,39,Catalin88,RO,Romania,www.youtube.com/watch?v=W_mwdTzgTUQ,League of Legends,1
Eric,,1,,23,Catalin88,RO,Romania,www.youtube.com/watch?v=urR6SUaNNtw,League of Legends,1
Eric,,1,,"61,694",Censtudios,NL,Netherlands,www.youtube.com/watch?v=PlHmZHxgSes,Fiesta,1
Eric,,1,,"54,144",Censtudios,NL,Netherlands,www.youtube.com/watch?v=-4wgd-Ww1sc,Fiesta,2
Eric,,1,,"49,281",Censtudios,NL,Netherlands,www.youtube.com/watch?v=d_cV61m413A,Fiesta,3
Sohaib,,1,,"50,025",Censtudios,,,www.youtube.com/watch?v=liYEDguuPFA,Fiesta,1
Eric,,1,,"4,964",CenterHub,NO,Norway,www.youtube.com/watch?v=7tc7aotSHT0,Elsword,1
Callum,,1,,"100,003",CGO PLAY,RS,Serbia,www.youtube.com/watch?v=WaX908jZDTo,Disney Ghosts of Mistwood,22
Eric,,1,,"31,561",CGO PLAY,RS,Serbia,www.youtube.com/watch?v=AgDT7BsoHN4,Disney Ghosts of Mistwood,36
