Channel,Network,Subscribers,Views
UCuiqs_ciaqmagn2BqPfC1Eg,bentpixels,2601,448948
UCt1l3Rzk0URPKWAQ-7Nvxeg,bentpixels,2494,4321384
UCd3SYxiDa-XeSEsPNA2CS7w,bentpixels,93,4428
UCKAOq6VCmrGvXC8fIs6I68g,bentpixels,459,60016
UCGXHnLgB25rJ9euhiFPqsyg,bentpixels,1275,445890
UCwnL63iwtlHyFplf3-th-3g,bentpixels,907,1451433
UCAlSiX8nuSGUUZsv3C92rAA,bentpixels,2216,172750
UCxc6luPg1GBu-QK5r6-nK9Q,bentpixels,214,18006
UCKNMgOgzbV35wvYtkk4GOAg,bentpixels,5408,659418
UCSFxPaH3-jDV9c2FNwzBQdg,bentpixels,2761,729489
UCUcW53d4QaBx2bAO3tEVDoQ,bentpixels,560,143368
UCyXeWZtWizW1WKbZQBYeRMA,bentpixels,6331,659384
UCW-nTiduQso39qU-nwRLFnw,bentpixels,4517,1164407
UC_7SNlIMGR5d8g1UrMsoHAw,bentpixels,1224,30618
UCDtCQw_SW1v5Zwq1ktvImgQ,bentpixels,3702,5800958
UCNwodgJfr0MrZl7tQzEQ34g,bentpixels,2139,450077
UC8pWKIRUnqXlSFfT83IY-lA,bentpixels,238,74845
UCTPy9zCZQ5m3QeVAAY0gG9Q,bentpixels,1360,230064
UCMX2MAhSEZgiETAEP75vn0w,bentpixels,384,25866
UCyhmVeMH9_GzcC2zElN5v0A,bentpixels,65,18248
UCtcPbqzas-dP-Ox_s86XHAQ,bentpixels,6903,262244
UC5e2XDVS7Ndez97vqS5RDdA,bentpixels,2078,2427747
UCiF-ZlVI8EXo4-J62HeOujw,bentpixels,2224,374810
UCWs6Ei847zp9JKDeVuNCYZA,bentpixels,28,1789
UCvR5eZF-ZQd59K0QtKO9VAw,bentpixels,602,10663
UCLdkX7KQO5V0b6wszuDwWgw,bentpixels,1462,24740
UC3MkASPJQ7n9CZ2P-SSOItQ,bentpixels,274,215586
UCx1X9mdm4qpZER9CmwyGS4Q,bentpixels,54,1651
UCMBHX_W-29gxqrEA18eUZUQ,bentpixels,122,16178
UCvB7F4wg9L3ii5Z7yC0hSLA,bentpixels,44843,1400611
UC2gH8MfPW4WKXlfvjd6qnVA,bentpixels,269,28342
UC0ua5Px9Gm9QBk9whRD420g,bentpixels,20,48063
UCLtagY4oo8dvDps7PpxY2Jw,bentpixels,236,30778
UCKn2316RXP4nADvqRwICoVQ,bentpixels,6368,6492783
UCFwv2w_SYScMMoXUHfSGSbQ,bentpixels,0,0
UCEWYm2gwXz9mCFg_i6oitSQ,bentpixels,0,15365
UCeG3hLOa0WcWzYkEUnsbquw,bentpixels,254,3374
UClW1qszaP6pAmjsPcM_kRhw,bentpixels,2395,59011
UCkRw-bGsNHkM9xP5zLa8cvg,bentpixels,77,462
UCKCbW5zbdTJSMlMNwf4jUeQ,bentpixels,33,6390
UClk4v3pUCO7Egq4LHIWyt2g,bentpixels,259,2940
UC-qAOHm0nYsVaoQAQ3Jyf-Q,bentpixels,929,27954
UC-qoXmXjgL0TUnTTqZJXgPg,bentpixels,124,2627
UCZRNUz8pheXZ8rM5IXWVH2g,bentpixels,934,164119
UCC2077FTWvGdNxkV_WRBFcg,bentpixels,178,19803
UCKAzA7oYBCAs0KfO22j8VBw,bentpixels,3179,539082
UCyvkcYSN_3tCV0yTzAuQjfA,bentpixels,106,170324
UCK7JvvZp6Wvk3ZzIFjmAOow,bentpixels,359,28082
UC87bZAULJF99FKiDqJNPnhw,bentpixels,37,1429
UCEDPV9eJdFHnUH1N-KjQ8yg,bentpixels,778,49459
UCVOZ_lm9MKHIMxr6w54z13w,bentpixels,719,6472
UCV-HLO26CEzJXzJtW4lAfFw,bentpixels,1007,1325141
UCnbsoRjJCzP2eiHKIC0WMQQ,bentpixels,551,73807
UClqZTV3UDImliLEk-Cc2xDA,bentpixels,2008,46225
UCOy6RD0MsGuMEU1Y21mJyBw,bentpixels,77,3324
UCn2smMbJBEJNo1ftggULOmA,bentpixels,79,15571
UCO9tKfOXgb_0ixu0hERrEkQ,bentpixels,39,1635
UCTiMfa6E3wUhYJozyfCHyZQ,bentpixels,481,869269
UCRDaMCjRQ_d4xS0hhrWmCcg,bentpixels,138,1123
UCZsLyxras49Nb4uCn8jC1iw,bentpixels,27,2030
UC35sEdVMhMsYuszdBw3Qi8g,bentpixels,0,3765
UCbQpgmN1f0AxSYNpG9jusVQ,bentpixels,276,2714
UCkMFg9r_A0GwvD5bP2dCNRg,bentpixels,436,262944
UCbVSPgStA4CF9p3J18RF7oA,bentpixels,223,1070
UCwXqN-shEJ4Jifp-XMczZGw,bentpixels,250,3768
UCXIvw0lyq4-QlHgPCzEE-Lg,bentpixels,166,7678
UCk_iYnj4JxvFEb_prLBmULg,bentpixels,270,2179
UC_AL_SYO0lWSSC44MIVOJBQ,bentpixels,213,103396
UCPyn_fzHv2jHryay3S2nuPA,bentpixels,82,13377
UCpeCbeBNlwBzLU1DS3nh5Wg,bentpixels,4863,631852
UCol6BitWKJzDibUgkv6zbLA,bentpixels,73,45094
UC4AULmB6cPSgVcUhEhh2a3Q,bentpixels,13,2174
UC3MwO9SGGTJlaxoJ2CW1bXw,bentpixels,275,139890
UCBw1QSxDl-AB2b4bzE9TClA,bentpixels,42,3719
UCSPUpI3BAbQhy77lb0qP4jQ,bentpixels,0,0
